name,accuracy,precision,recall,f1
linear_svc__tfi_df__1-gram__finegrained__none__none__sentiment_features__none,0.713,0.595,0.536,0.518
linear_svc__tfi_df__1-gram__finegrained__none__none__none__none,0.71,0.585,0.531,0.509
linear_svc__tfi_df__1-gram__none__lemmatize__content_features__sentiment_features__none,0.723,0.629,0.553,0.541
linear_svc__tfi_df__1-gram__none__lemmatize__content_features__none__none,0.721,0.619,0.541,0.521
linear_svc__tfi_df__1-gram__none__lemmatize__none__sentiment_features__none,0.729,0.647,0.555,0.543
linear_svc__tfi_df__1-gram__none__lemmatize__none__none__none,0.724,0.632,0.548,0.533
linear_svc__tfi_df__1-gram__none__none__content_features__sentiment_features__none,0.726,0.636,0.547,0.529
linear_svc__tfi_df__1-gram__none__none__content_features__none__none,0.721,0.618,0.537,0.513
linear_svc__tfi_df__1-gram__none__none__none__sentiment_features__none,0.727,0.64,0.549,0.532
linear_svc__tfi_df__1-gram__none__none__none__none__none,0.721,0.619,0.54,0.518
linear_svc__tfi_df__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.747,0.678,0.633,0.644
linear_svc__tfi_df__2-gram__standard__lemmatize__content_features__none__none,0.757,0.695,0.646,0.659
linear_svc__tfi_df__2-gram__standard__lemmatize__none__sentiment_features__none,0.747,0.678,0.634,0.645
linear_svc__tfi_df__2-gram__standard__lemmatize__none__none__none,0.751,0.686,0.64,0.651
linear_svc__tfi_df__2-gram__standard__none__content_features__sentiment_features__none,0.737,0.664,0.631,0.641
linear_svc__tfi_df__2-gram__standard__none__content_features__none__none,0.742,0.67,0.631,0.641
linear_svc__tfi_df__2-gram__standard__none__none__sentiment_features__none,0.737,0.664,0.631,0.641
linear_svc__tfi_df__2-gram__standard__none__none__none__none,0.74,0.667,0.63,0.64
linear_svc__tfi_df__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.743,0.672,0.629,0.639
linear_svc__tfi_df__2-gram__finegrained__lemmatize__content_features__none__none,0.751,0.686,0.637,0.649
linear_svc__tfi_df__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.742,0.67,0.629,0.64
linear_svc__tfi_df__2-gram__finegrained__lemmatize__none__none__none,0.751,0.686,0.638,0.65
linear_svc__tfi_df__2-gram__finegrained__none__content_features__sentiment_features__none,0.734,0.658,0.626,0.635
linear_svc__tfi_df__2-gram__finegrained__none__content_features__none__none,0.735,0.66,0.627,0.636
linear_svc__tfi_df__2-gram__finegrained__none__none__sentiment_features__none,0.736,0.662,0.631,0.64
linear_svc__tfi_df__2-gram__finegrained__none__none__none__none,0.735,0.66,0.628,0.637
linear_svc__tfi_df__2-gram__none__lemmatize__content_features__sentiment_features__none,0.743,0.672,0.633,0.643
linear_svc__tfi_df__2-gram__none__lemmatize__content_features__none__none,0.741,0.669,0.632,0.642
linear_svc__tfi_df__2-gram__none__lemmatize__none__sentiment_features__none,0.74,0.667,0.633,0.643
linear_svc__tfi_df__2-gram__none__lemmatize__none__none__none,0.743,0.673,0.638,0.648
linear_svc__tfi_df__2-gram__none__none__content_features__sentiment_features__none,0.741,0.669,0.638,0.647
linear_svc__tfi_df__2-gram__none__none__content_features__none__none,0.743,0.673,0.64,0.65
linear_svc__tfi_df__2-gram__none__none__none__sentiment_features__none,0.738,0.666,0.636,0.645
linear_svc__tfi_df__2-gram__none__none__none__none__none,0.741,0.67,0.64,0.649
linear_svc__tfi_df__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.788,0.74,0.704,0.717
linear_svc__tfi_df__3-gram__standard__lemmatize__content_features__none__none,0.784,0.733,0.698,0.711
linear_svc__tfi_df__3-gram__standard__lemmatize__none__sentiment_features__none,0.783,0.732,0.696,0.709
linear_svc__tfi_df__3-gram__standard__lemmatize__none__none__none,0.78,0.729,0.692,0.705
linear_svc__tfi_df__3-gram__standard__none__content_features__sentiment_features__none,0.779,0.727,0.688,0.702
linear_svc__tfi_df__3-gram__standard__none__content_features__none__none,0.779,0.728,0.686,0.7
linear_svc__tfi_df__3-gram__standard__none__none__sentiment_features__none,0.779,0.728,0.687,0.701
linear_svc__tfi_df__3-gram__standard__none__none__none__none,0.778,0.726,0.685,0.699
linear_svc__tfi_df__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.776,0.72,0.703,0.71
linear_svc__tfi_df__3-gram__finegrained__lemmatize__content_features__none__none,0.769,0.711,0.697,0.703
linear_svc__tfi_df__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.772,0.716,0.701,0.708
linear_svc__tfi_df__3-gram__finegrained__lemmatize__none__none__none,0.769,0.711,0.697,0.703
linear_svc__tfi_df__3-gram__finegrained__none__content_features__sentiment_features__none,0.77,0.712,0.688,0.698
linear_svc__tfi_df__3-gram__finegrained__none__content_features__none__none,0.769,0.711,0.69,0.698
linear_svc__tfi_df__3-gram__finegrained__none__none__sentiment_features__none,0.77,0.712,0.692,0.7
linear_svc__tfi_df__3-gram__finegrained__none__none__none__none,0.767,0.709,0.689,0.697
linear_svc__tfi_df__3-gram__none__lemmatize__content_features__sentiment_features__none,0.785,0.733,0.71,0.72
linear_svc__tfi_df__3-gram__none__lemmatize__content_features__none__none,0.781,0.728,0.705,0.715
linear_svc__tfi_df__3-gram__none__lemmatize__none__sentiment_features__none,0.788,0.738,0.715,0.725
linear_svc__tfi_df__3-gram__none__lemmatize__none__none__none,0.779,0.725,0.705,0.713
linear_svc__tfi_df__3-gram__none__none__content_features__sentiment_features__none,0.787,0.738,0.703,0.716
linear_svc__tfi_df__3-gram__none__none__content_features__none__none,0.786,0.737,0.701,0.714
linear_svc__tfi_df__3-gram__none__none__none__sentiment_features__none,0.781,0.729,0.698,0.709
linear_svc__tfi_df__3-gram__none__none__none__none__none,0.784,0.733,0.701,0.713
linear_svc__both__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.712,0.596,0.542,0.528
linear_svc__both__1-gram__standard__lemmatize__content_features__none__none,0.713,0.599,0.543,0.529
linear_svc__both__1-gram__standard__lemmatize__none__sentiment_features__none,0.712,0.595,0.541,0.526
linear_svc__both__1-gram__standard__lemmatize__none__none__none,0.713,0.597,0.54,0.525
linear_svc__both__1-gram__standard__none__content_features__sentiment_features__none,0.719,0.614,0.546,0.531
linear_svc__both__1-gram__standard__none__content_features__none__none,0.716,0.607,0.544,0.529
linear_svc__both__1-gram__standard__none__none__sentiment_features__none,0.712,0.594,0.54,0.524
linear_svc__both__1-gram__standard__none__none__none__none,0.714,0.602,0.544,0.53
linear_svc__both__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.72,0.62,0.554,0.545
linear_svc__both__1-gram__finegrained__lemmatize__content_features__none__none,0.715,0.609,0.552,0.544
linear_svc__both__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.724,0.633,0.561,0.555
linear_svc__both__1-gram__finegrained__lemmatize__none__none__none,0.719,0.618,0.556,0.548
linear_svc__both__1-gram__finegrained__none__content_features__sentiment_features__none,0.712,0.599,0.547,0.537
linear_svc__both__1-gram__finegrained__none__content_features__none__none,0.712,0.602,0.551,0.543
linear_svc__both__1-gram__finegrained__none__none__sentiment_features__none,0.708,0.592,0.545,0.535
linear_svc__both__1-gram__finegrained__none__none__none__none,0.709,0.598,0.551,0.544
linear_svc__both__1-gram__none__lemmatize__content_features__sentiment_features__none,0.722,0.625,0.553,0.542
linear_svc__both__1-gram__none__lemmatize__content_features__none__none,0.723,0.629,0.553,0.541
linear_svc__both__1-gram__none__lemmatize__none__sentiment_features__none,0.72,0.619,0.553,0.543
linear_svc__both__1-gram__none__lemmatize__none__none__none,0.722,0.625,0.553,0.542
linear_svc__both__1-gram__none__none__content_features__sentiment_features__none,0.713,0.598,0.542,0.527
linear_svc__both__1-gram__none__none__content_features__none__none,0.709,0.584,0.533,0.513
linear_svc__both__1-gram__none__none__none__sentiment_features__none,0.716,0.61,0.55,0.54
linear_svc__both__1-gram__none__none__none__none__none,0.707,0.582,0.535,0.519
linear_svc__both__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.709,0.631,0.621,0.625
linear_svc__both__2-gram__standard__lemmatize__content_features__none__none,0.712,0.633,0.621,0.626
linear_svc__both__2-gram__standard__lemmatize__none__sentiment_features__none,0.71,0.632,0.62,0.625
linear_svc__both__2-gram__standard__lemmatize__none__none__none,0.713,0.634,0.622,0.627
linear_svc__both__2-gram__standard__none__content_features__sentiment_features__none,0.709,0.628,0.613,0.618
linear_svc__both__2-gram__standard__none__content_features__none__none,0.706,0.624,0.612,0.617
linear_svc__both__2-gram__standard__none__none__sentiment_features__none,0.702,0.621,0.611,0.615
linear_svc__both__2-gram__standard__none__none__none__none,0.703,0.621,0.609,0.613
linear_svc__both__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.7,0.618,0.608,0.612
linear_svc__both__2-gram__finegrained__lemmatize__content_features__none__none,0.708,0.629,0.618,0.622
linear_svc__both__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.697,0.613,0.604,0.608
linear_svc__both__2-gram__finegrained__lemmatize__none__none__none,0.701,0.619,0.609,0.613
linear_svc__both__2-gram__finegrained__none__content_features__sentiment_features__none,0.702,0.62,0.61,0.614
linear_svc__both__2-gram__finegrained__none__content_features__none__none,0.702,0.62,0.608,0.613
linear_svc__both__2-gram__finegrained__none__none__sentiment_features__none,0.699,0.616,0.606,0.61
linear_svc__both__2-gram__finegrained__none__none__none__none,0.699,0.616,0.606,0.61
linear_svc__both__2-gram__none__lemmatize__content_features__sentiment_features__none,0.708,0.627,0.614,0.618
linear_svc__both__2-gram__none__lemmatize__content_features__none__none,0.706,0.622,0.608,0.613
linear_svc__both__2-gram__none__lemmatize__none__sentiment_features__none,0.701,0.616,0.602,0.607
linear_svc__both__2-gram__none__lemmatize__none__none__none,0.702,0.617,0.602,0.607
linear_svc__both__2-gram__none__none__content_features__sentiment_features__none,0.698,0.615,0.606,0.61
linear_svc__both__2-gram__none__none__content_features__none__none,0.694,0.611,0.603,0.606
linear_svc__both__2-gram__none__none__none__sentiment_features__none,0.699,0.617,0.609,0.612
linear_svc__both__2-gram__none__none__none__none__none,0.691,0.607,0.599,0.602
linear_svc__both__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.719,0.657,0.667,0.661
linear_svc__both__3-gram__standard__lemmatize__content_features__none__none,0.722,0.66,0.668,0.663
linear_svc__both__3-gram__standard__lemmatize__none__sentiment_features__none,0.72,0.658,0.668,0.662
linear_svc__both__3-gram__standard__lemmatize__none__none__none,0.714,0.652,0.661,0.656
linear_svc__both__3-gram__standard__none__content_features__sentiment_features__none,0.715,0.649,0.653,0.651
linear_svc__both__3-gram__standard__none__content_features__none__none,0.72,0.654,0.658,0.656
linear_svc__both__3-gram__standard__none__none__sentiment_features__none,0.706,0.641,0.648,0.644
linear_svc__both__3-gram__standard__none__none__none__none,0.705,0.638,0.644,0.641
linear_svc__both__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.702,0.644,0.658,0.649
linear_svc__both__3-gram__finegrained__lemmatize__content_features__none__none,0.705,0.647,0.661,0.651
linear_svc__both__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.703,0.646,0.66,0.65
linear_svc__both__3-gram__finegrained__lemmatize__none__none__none,0.703,0.645,0.659,0.65
linear_svc__both__3-gram__finegrained__none__content_features__sentiment_features__none,0.703,0.64,0.649,0.643
linear_svc__both__3-gram__finegrained__none__content_features__none__none,0.709,0.646,0.655,0.65
linear_svc__both__3-gram__finegrained__none__none__sentiment_features__none,0.695,0.633,0.643,0.637
linear_svc__both__3-gram__finegrained__none__none__none__none,0.698,0.635,0.645,0.638
linear_svc__both__3-gram__none__lemmatize__content_features__sentiment_features__none,0.712,0.651,0.663,0.656
linear_svc__both__3-gram__none__lemmatize__content_features__none__none,0.721,0.66,0.67,0.664
linear_svc__both__3-gram__none__lemmatize__none__sentiment_features__none,0.701,0.641,0.654,0.645
linear_svc__both__3-gram__none__lemmatize__none__none__none,0.71,0.651,0.664,0.656
linear_svc__both__3-gram__none__none__content_features__sentiment_features__none,0.731,0.668,0.671,0.669
linear_svc__both__3-gram__none__none__content_features__none__none,0.724,0.661,0.666,0.663
linear_svc__both__3-gram__none__none__none__sentiment_features__none,0.731,0.667,0.669,0.668
linear_svc__both__3-gram__none__none__none__none__none,0.726,0.661,0.664,0.662
